Subspace,Breakdown,Sig,Impact,Type,Breakdown_value
Toyota;*;2005,Body,0.546607459,0.003519578,Point,crossover
Toyota;*;1995,Body,0.548121743,0.000135745,Point,hatch
Toyota;*;2002,Body,0.547967934,0.001021171,Point,crossover
Toyota;*;2015,Body,0.551570716,0.009310696,Point,crossover
Toyota;*;1992,Body,0.548081465,4.07E-05,Point,van
Toyota;*;1988,Body,0.548077355,3.46E-05,Point,other
Toyota;*;1979,Body,0.548059271,7.40E-06,Point,sedan
Toyota;*;1985,Body,0.548068724,3.52E-05,Point,hatch
Toyota;*;1993,Body,0.548189967,0.000203617,Point,crossover
Renault;*;1991,Body,0.548079821,3.83E-05,Point,hatch
Renault;*;1999,Body,0.548108591,0.000132043,Point,van
Renault;*;2003,Body,0.54804337,0.001043964,Point,van
Renault;*;2007,Body,0.546854206,0.002546424,Point,van
Renault;*;2011,Body,0.548252716,0.005130659,Point,vagon
Renault;*;2016,Body,0.548471999,0.002801494,Point,crossover
Renault;*;1997,Body,0.547698012,0.000100575,Point,hatch
Renault;*;2006,Body,0.547922652,0.002350816,Point,van
Renault;*;2012,Body,0.542717032,0.010602851,Point,van
Renault;*;1994,Body,0.548082287,7.28E-05,Point,hatch
Renault;*;2008,Body,0.545856533,0.00328432,Point,van
Renault;*;2001,Body,0.548024991,0.000360328,Point,van
Renault;*;2013,Body,0.547168525,0.004083375,Point,van
Renault;*;1998,Body,0.548085575,8.51E-05,Point,van
Renault;*;2010,Body,0.545307048,0.002686364,Point,van
Renault;*;2009,Body,0.546059924,0.002389676,Point,van
Renault;*;1996,Body,0.548084753,4.57E-05,Point,hatch
Renault;*;2014,Body,0.54749673,0.001756007,Point,van
Renault;*;2000,Body,0.548157088,0.00024249,Point,van
Renault;*;2004,Body,0.547398917,0.001380277,Point,vagon
Renault;*;1987,Body,0.548073538,5.23E-05,Point,hatch
Renault;*;1990,Body,0.548074889,3.09E-05,Point,sedan
Renault;*;2005,Body,0.547651372,0.002706923,Point,van
Renault;*;2002,Body,0.548356001,0.000552234,Point,van
Renault;*;2015,Body,0.547749595,0.000673749,Point,van
Renault;*;1988,Body,0.548072415,4.93E-05,Point,sedan
Renault;*;1986,Body,0.548065436,1.67E-05,Point,sedan
Volkswagen;*;1991,Body,0.548238044,0.00031652,Point,sedan
Volkswagen;*;1999,Body,0.547924794,0.001065572,Point,van
Volkswagen;*;2003,Body,0.547633564,0.002612939,Point,van
Volkswagen;*;2007,Body,0.544361046,0.008529942,Point,sedan
Volkswagen;*;2011,Body,0.541033901,0.01858668,Point,sedan
Volkswagen;*;2016,Body,0.510011803,0.012261542,Point,sedan
Volkswagen;*;1997,Body,0.547935355,0.000553468,Point,van
Volkswagen;*;2006,Body,0.541446893,0.005301438,Point,sedan
Volkswagen;*;2012,Body,0.54098869,0.021029894,Point,sedan
Volkswagen;*;1994,Body,0.547625134,0.000338116,Point,hatch
Volkswagen;*;2008,Body,0.540132462,0.010760179,Point,van
Volkswagen;*;2001,Body,0.547654519,0.001622138,Point,van
Volkswagen;*;2013,Body,0.545267964,0.017673562,Point,van
Volkswagen;*;1998,Body,0.547967592,0.00075769,Point,sedan
Volkswagen;*;2010,Body,0.548184522,0.006120583,Point,van
Volkswagen;*;1989,Body,0.547590485,0.000257915,Point,sedan
Volkswagen;*;2009,Body,0.546997598,0.003206032,Point,van
Volkswagen;*;1996,Body,0.547732553,0.000617639,Point,hatch
Volkswagen;*;2014,Body,0.545039459,0.010287781,Point,crossover
Volkswagen;*;2000,Body,0.546846029,0.001621496,Point,van
Volkswagen;*;2004,Body,0.546913343,0.003292378,Point,van
Volkswagen;*;1987,Body,0.548087491,0.000128341,Point,hatch
Volkswagen;*;1990,Body,0.548153389,0.000180787,Point,sedan
Volkswagen;*;2005,Body,0.547762585,0.00481963,Point,van
Volkswagen;*;1995,Body,0.547687517,0.000688584,Point,van
Volkswagen;*;2002,Body,0.547613235,0.002240751,Point,van
Volkswagen;*;2015,Body,0.544972606,0.011069424,Point,crossover
Volkswagen;*;1992,Body,0.548031838,0.000223979,Point,hatch
Volkswagen;*;1988,Body,0.54805065,0.000151787,Point,vagon
Volkswagen;*;1986,Body,0.548092562,8.45E-05,Point,hatch
Volkswagen;*;1980,Body,0.548064998,1.60E-05,Point,sedan
Volkswagen;*;1985,Body,0.548072423,2.71E-05,Point,hatch
Volkswagen;*;1993,Body,0.547994358,0.000531256,Point,hatch
Volkswagen;*;1984,Body,0.548045044,7.03E-05,Point,sedan
Volkswagen;*;1982,Body,0.548070368,2.41E-05,Point,hatch
Mitsubishi;*;1991,Body,0.548087346,0.000135732,Point,crossover
Mitsubishi;*;1999,Body,0.547970931,0.000331945,Point,crossover
Mitsubishi;*;2003,Body,0.548196288,0.000499158,Point,other
Mitsubishi;*;2007,Body,0.550131618,0.006249788,Point,sedan
Mitsubishi;*;2011,Body,0.549245132,0.003180845,Point,crossover
Mitsubishi;*;2016,Body,0.550253004,0.004021859,Point,crossover
Mitsubishi;*;1997,Body,0.547981547,0.000291111,Point,sedan
Mitsubishi;*;2006,Body,0.541417193,0.003554032,Point,crossover
Mitsubishi;*;2012,Body,0.548247836,0.00255679,Point,crossover
Mitsubishi;*;1994,Body,0.548086808,8.45E-05,Point,other
Mitsubishi;*;2008,Body,0.525166845,0.012638011,Point,crossover
Mitsubishi;*;2001,Body,0.548078732,0.000341818,Point,crossover
Mitsubishi;*;2013,Body,0.548505485,0.002422427,Point,crossover
Mitsubishi;*;1998,Body,0.548128319,0.000111064,Point,sedan
Mitsubishi;*;2010,Body,0.548468603,0.000726852,Point,sedan
Mitsubishi;*;1989,Body,0.548097905,0.00011352,Point,hatch
Mitsubishi;*;2009,Body,0.496734062,0.003000564,Point,crossover
Mitsubishi;*;1996,Body,0.548119593,0.000152269,Point,sedan
Mitsubishi;*;2014,Body,0.548648595,0.001142724,Point,crossover
Mitsubishi;*;2000,Body,0.547944107,0.000478192,Point,crossover
Mitsubishi;*;2004,Body,0.54654265,0.00080583,Point,crossover
Mitsubishi;*;1987,Body,0.548074889,3.09E-05,Point,sedan
Mitsubishi;*;1990,Body,0.548097905,8.45E-05,Point,other
Mitsubishi;*;2005,Body,0.547793872,0.000917499,Point,sedan
Mitsubishi;*;2002,Body,0.548046615,0.000319605,Point,crossover
Mitsubishi;*;2015,Body,0.548446412,0.000588639,Point,crossover
Mitsubishi;*;1992,Body,0.548088863,7.28E-05,Point,van
Mitsubishi;*;1986,Body,0.548099549,9.23E-05,Point,crossover
Mitsubishi;*;1993,Body,0.548081054,7.90E-05,Point,sedan
*;sedan;1991,Brand,0.547217513,0.001130347,Point,BMW
*;sedan;1999,Brand,0.546597306,0.002749412,Point,BMW
*;sedan;2003,Brand,0.538138973,0.007086901,Point,Mercedes-Benz
*;sedan;2007,Brand,0.539801033,0.021735452,Point,Mercedes-Benz
*;sedan;2011,Brand,0.517763503,0.042022915,Point,Mercedes-Benz
*;sedan;2016,Brand,0.534078237,0.019821084,Point,BMW
*;sedan;1997,Brand,0.542450511,0.003458999,Point,BMW
*;sedan;2006,Brand,0.546644238,0.011214357,Point,Mercedes-Benz
*;sedan;2012,Brand,0.513405712,0.030169867,Point,Mercedes-Benz
*;sedan;1994,Brand,0.547616815,0.001340788,Point,Mercedes-Benz
*;sedan;2008,Brand,0.53951276,0.02321196,Point,Toyota
*;sedan;2001,Brand,0.536020773,0.006357076,Point,BMW
*;sedan;2013,Brand,0.528464756,0.021086666,Point,BMW
*;sedan;1998,Brand,0.546728164,0.003276225,Point,BMW
*;sedan;2010,Brand,0.538814578,0.014552419,Point,Mercedes-Benz
*;sedan;1989,Brand,0.547901577,0.000547286,Point,Volkswagen
*;sedan;2009,Brand,0.54334867,0.008348822,Point,Audi
*;sedan;1996,Brand,0.546402425,0.002354098,Point,BMW
*;sedan;2014,Brand,0.521062001,0.030989804,Point,Mercedes-Benz
*;sedan;2000,Brand,0.525528418,0.005688889,Point,Mercedes-Benz
*;sedan;2004,Brand,0.54221261,0.007898433,Point,BMW
*;sedan;1987,Brand,0.548082351,0.000322838,Point,Audi
*;sedan;1990,Brand,0.547979555,0.000556541,Point,BMW
*;sedan;2005,Brand,0.547106951,0.007831757,Point,BMW
*;sedan;1995,Brand,0.544387507,0.00173736,Point,BMW
*;sedan;2002,Brand,0.546782002,0.004484328,Point,BMW
*;sedan;2015,Brand,0.537250214,0.024734926,Point,Mercedes-Benz
*;sedan;1992,Brand,0.547081345,0.000825575,Point,Audi
*;sedan;1988,Brand,0.547842105,0.000587368,Point,BMW
*;sedan;1986,Brand,0.547962017,0.000221869,Point,Audi
*;sedan;1980,Brand,0.548064998,2.34E-05,Point,Volkswagen
*;sedan;1979,Brand,0.548094946,6.84E-05,Point,Mercedes-Benz
*;sedan;1985,Brand,0.54663978,0.000350499,Point,Mercedes-Benz
*;sedan;1993,Brand,0.54795562,0.000969218,Point,BMW
*;sedan;1969,Brand,0.54834202,0.000431903,Point,Mercedes-Benz
*;sedan;1984,Brand,0.548074889,3.09E-05,Point,Volkswagen
*;sedan;1978,Brand,0.548118455,9.63E-05,Point,Mercedes-Benz
*;sedan;1983,Brand,0.548074067,2.96E-05,Point,Mercedes-Benz
*;van;1999,Brand,0.547514952,0.001370997,Point,Mercedes-Benz
*;van;2003,Brand,0.545805147,0.001971964,Point,Volkswagen
*;van;2007,Brand,0.549386742,0.005377023,Point,Mercedes-Benz
*;van;2011,Brand,0.539855916,0.008330224,Point,Volkswagen
*;van;2016,Brand,0.547014461,0.012312744,Point,Mercedes-Benz
*;van;1997,Brand,0.546595976,0.000322085,Point,Volkswagen
*;van;2006,Brand,0.543262851,0.004200634,Point,Volkswagen
*;van;2012,Brand,0.546187081,0.0132082,Point,Renault
*;van;2008,Brand,0.537917459,0.007238244,Point,Volkswagen
*;van;2001,Brand,0.538629668,0.001510444,Point,Volkswagen
*;van;2013,Brand,0.503972631,0.014913587,Point,Volkswagen
*;van;1998,Brand,0.547834249,0.000582468,Point,Mercedes-Benz
*;van;2010,Brand,0.548862463,0.004609399,Point,Volkswagen
*;van;2009,Brand,0.546214026,0.003449102,Point,Renault
*;van;1996,Brand,0.548215448,0.000299873,Point,Mercedes-Benz
*;van;2014,Brand,0.546610327,0.005219473,Point,Mercedes-Benz
*;van;2000,Brand,0.545851077,0.001235253,Point,Mercedes-Benz
*;van;2004,Brand,0.545546323,0.002801871,Point,Volkswagen
*;van;2005,Brand,0.536052681,0.0046692,Point,Volkswagen
*;van;1995,Brand,0.548257368,0.000304809,Point,Volkswagen
*;van;2002,Brand,0.546690592,0.002282733,Point,Volkswagen
*;van;2015,Brand,0.53761296,0.003623783,Point,Volkswagen
*;van;1992,Brand,0.548044935,0.000156724,Point,Volkswagen
*;van;1988,Brand,0.54808763,5.00E-05,Point,Volkswagen
*;van;1985,Brand,0.548063381,1.36E-05,Point,Toyota
*;van;1993,Brand,0.548120099,9.87E-05,Point,Volkswagen
*;crossover;1991,Brand,0.548107769,8.02E-05,Point,Mitsubishi
*;crossover;1999,Brand,0.5482436,0.000740426,Point,Toyota
*;crossover;2003,Brand,0.543885947,0.003257862,Point,Toyota
*;crossover;2007,Brand,0.546588899,0.019187412,Point,Toyota
*;crossover;2011,Brand,0.53233039,0.026357438,Point,BMW
*;crossover;2016,Brand,0.467593207,0.130668487,Point,Mercedes-Benz
*;crossover;1997,Brand,0.548070401,0.000379962,Point,Mercedes-Benz
*;crossover;2006,Brand,0.541425329,0.009379322,Point,Toyota
*;crossover;2012,Brand,0.526966546,0.023537772,Point,Toyota
*;crossover;1994,Brand,0.548251614,0.00029617,Point,Toyota
*;crossover;2008,Brand,0.493822428,0.035023248,Point,Mitsubishi
*;crossover;2001,Brand,0.54809247,0.000765107,Point,Toyota
*;crossover;2013,Brand,0.486477563,0.04334286,Point,Mercedes-Benz
*;crossover;1998,Brand,0.548167766,0.000170286,Point,Mercedes-Benz
*;crossover;2010,Brand,0.535110138,0.01599061,Point,BMW
*;crossover;2009,Brand,0.541946181,0.012008451,Point,BMW
*;crossover;1996,Brand,0.548140648,0.000147468,Point,Toyota
*;crossover;2014,Brand,0.535591608,0.028708525,Point,Toyota
*;crossover;2000,Brand,0.546929243,0.001475175,Point,Toyota
*;crossover;2004,Brand,0.546988206,0.004403745,Point,Toyota
*;crossover;2005,Brand,0.542391799,0.006023353,Point,Toyota
*;crossover;2002,Brand,0.547594026,0.002351457,Point,Mercedes-Benz
*;crossover;2015,Brand,0.537374046,0.028294831,Point,BMW
*;crossover;1986,Brand,0.548099549,6.79E-05,Point,Mitsubishi
*;crossover;1993,Brand,0.548189967,0.000203617,Point,Toyota
*;vagon;1991,Brand,0.548081465,4.07E-05,Point,Volkswagen
*;vagon;1999,Brand,0.547668712,0.000742869,Point,Audi
*;vagon;2003,Brand,0.547564452,0.002111399,Point,Audi
*;vagon;2007,Brand,0.548905817,0.002674135,Point,BMW
*;vagon;2011,Brand,0.542716662,0.006313242,Point,Volkswagen
*;vagon;2016,Brand,0.548341199,0.00104334,Point,Volkswagen
*;vagon;1997,Brand,0.547533706,0.000483733,Point,Mercedes-Benz
*;vagon;2006,Brand,0.547029673,0.002257682,Point,Audi
*;vagon;2012,Brand,0.539215376,0.006665981,Point,Renault
*;vagon;1994,Brand,0.547774194,0.000173383,Point,Volkswagen
*;vagon;2008,Brand,0.546693264,0.00326265,Point,Volkswagen
*;vagon;2001,Brand,0.547628568,0.000902073,Point,Audi
*;vagon;2013,Brand,0.546903899,0.004808438,Point,Volkswagen
*;vagon;1998,Brand,0.547688416,0.000409073,Point,Audi
*;vagon;2010,Brand,0.547689102,0.004312944,Point,Audi
*;vagon;1989,Brand,0.548097075,6.42E-05,Point,Toyota
*;vagon;2009,Brand,0.548019913,0.002391144,Point,Toyota
*;vagon;1996,Brand,0.548052003,0.000500405,Point,Audi
*;vagon;2014,Brand,0.54744755,0.001223986,Point,BMW
*;vagon;2000,Brand,0.547828767,0.001005708,Point,Audi
*;vagon;2004,Brand,0.547200548,0.001401836,Point,Audi
*;vagon;1987,Brand,0.548074889,5.43E-05,Point,Mercedes-Benz
*;vagon;1990,Brand,0.548075711,3.21E-05,Point,Volkswagen
*;vagon;2005,Brand,0.547031464,0.001678978,Point,Audi
*;vagon;1995,Brand,0.54809376,0.000336277,Point,Volkswagen
*;vagon;2002,Brand,0.547936382,0.001117414,Point,Audi
*;vagon;2015,Brand,0.537824078,0.001755849,Point,BMW
*;vagon;1992,Brand,0.548078999,5.37E-05,Point,Volkswagen
*;vagon;1988,Brand,0.548093384,5.86E-05,Point,Volkswagen
