project_code,major_name,plan_end_time,project_tag,profession_tag,sum of danger_number,count of risk_level=1,count of risk_level=2,count of risk_level=3
ZRH(ZB)-2007-L01-B01-000-68,电气专业,2020/10/29 0:00,金城大厦,写字楼,160,20,117,23
ZRH(ZB)-2007-L01-B01-000-69,消防专业,2020/10/30 0:00,深投环保工业园,园区,24,0,19,5
ZRH(ZB)-2007-L01-B01-000-69,电梯专业,2020/10/30 0:00,深投环保工业园,园区,16,7,8,1
ZRH(ZB)-2007-L01-B01-000-69,电气专业,2020/10/30 0:00,深投环保工业园,园区,16,3,11,2
ZRH(ZB)-2007-L01-B01-000-70,消防专业,2020/11/3 0:00,深圳市软件产业基地,NONE,49,8,35,6
ZRH(ZB)-2007-L01-B01-000-70,电梯专业,2020/11/3 0:00,深圳市软件产业基地,NONE,24,5,17,2
ZRH(ZB)-2007-L01-B01-000-70,电气专业,2020/11/3 0:00,深圳市软件产业基地,NONE,21,7,12,2
ZRH(ZB)-2007-L01-B01-000-71,消防专业,2020/11/4 0:00,经理大厦,写字楼,27,3,19,5
ZRH(ZB)-2007-L01-B01-000-71,电梯专业,2020/11/4 0:00,经理大厦,写字楼,22,7,11,4
ZRH(ZB)-2007-L01-B01-000-71,电气专业,2020/11/4 0:00,经理大厦,写字楼,28,6,20,2
ZRH(ZB)-2007-L01-B01-000-72,消防专业,2020/11/5 0:00,万怡酒店,酒店,38,10,21,7
ZRH(ZB)-2007-L01-B01-000-72,电梯专业,2020/11/5 0:00,万怡酒店,酒店,26,9,16,1
ZRH(ZB)-2007-L01-B01-000-72,电气专业,2020/11/5 0:00,万怡酒店,酒店,25,3,19,3
ZRH(ZB)-2007-L01-B01-000-73,消防专业,2020/11/6 0:00,福田皇城广场,NONE,67,8,46,13
ZRH(ZB)-2007-L01-B01-000-73,电梯专业,2020/11/6 0:00,福田皇城广场,NONE,18,4,14,0
ZRH(ZB)-2007-L01-B01-000-73,电气专业,2020/11/6 0:00,福田皇城广场,NONE,18,5,12,1
ZRH(ZB)-2007-L01-B01-000-74,消防专业,2020/11/9 0:00,外贸集团大厦,写字楼,27,4,20,3
ZRH(ZB)-2007-L01-B01-000-74,电梯专业,2020/11/9 0:00,外贸集团大厦,写字楼,17,3,12,2
ZRH(ZB)-2007-L01-B01-000-74,电气专业,2020/11/9 0:00,外贸集团大厦,写字楼,8,3,4,1
ZRH(ZB)-2007-L01-B01-000-75,消防专业,2020/11/10 0:00,赛格办公楼,写字楼,14,4,9,1
ZRH(ZB)-2007-L01-B01-000-75,电气专业,2020/11/10 0:00,赛格办公楼,写字楼,26,5,19,2
ZRH(ZB)-2007-L01-B01-000-76,消防专业,2020/11/11 0:00,深圳会展中心,会展,24,3,19,2
ZRH(ZB)-2007-L01-B01-000-76,电梯专业,2020/11/11 0:00,深圳会展中心,会展,17,2,14,1
ZRH(ZB)-2007-L01-B01-000-76,电气专业,2020/11/11 0:00,深圳会展中心,会展,14,3,8,3
ZRH(ZB)-2007-L01-B01-000-77,消防专业,2020/11/12 0:00,深圳市体育中心运营管理有限公司,NONE,31,4,21,6
ZRH(ZB)-2007-L01-B01-000-77,电气专业,2020/11/12 0:00,深圳市体育中心运营管理有限公司,NONE,11,2,7,2
ZRH(ZB)-2007-L01-B01-000-78,电气专业,2020/11/13 0:00,金领假日公寓A、C座,NONE,78,16,57,5
ZRH(ZB)-2007-L01-B01-000-79,消防专业,2020/11/13 0:00,金光华广场,综合体,35,12,18,5
ZRH(ZB)-2007-L01-B01-000-79,电梯专业,2020/11/13 0:00,金光华广场,综合体,27,10,12,5
ZRH(ZB)-2007-L01-B01-000-79,电气专业,2020/11/13 0:00,金光华广场,综合体,28,5,19,4
ZRH(ZB)-2007-L01-B01-000-80,消防专业,2020/11/16 0:00,时代科技大夏,写字楼,10,1,9,0
ZRH(ZB)-2007-L01-B01-000-80,电气专业,2020/11/16 0:00,时代科技大夏,写字楼,135,15,102,18
ZRH(ZB)-2007-L01-B01-000-81,消防专业,2020/11/16 0:00,兰科植物保护研究中心,NONE,12,2,8,2
ZRH(ZB)-2007-L01-B01-000-81,电气专业,2020/11/16 0:00,兰科植物保护研究中心,NONE,11,0,9,2
ZRH(ZB)-2007-L01-B01-000-82,消防专业,2020/11/18 0:00,深圳华晶玻璃瓶有限公司,NONE,24,5,19,0
ZRH(ZB)-2007-L01-B01-000-82,电梯专业,2020/11/18 0:00,深圳华晶玻璃瓶有限公司,NONE,16,3,11,2
ZRH(ZB)-2007-L01-B01-000-82,电气专业,2020/11/18 0:00,深圳华晶玻璃瓶有限公司,NONE,13,3,8,2
ZRH(ZB)-2007-L01-B01-000-83,消防专业,2020/12/1 0:00,21区,NONE,54,9,43,2
ZRH(ZB)-2007-L01-B01-000-83,电梯专业,2020/12/1 0:00,21区,NONE,22,6,14,2
ZRH(ZB)-2007-L01-B01-000-83,电气专业,2020/12/1 0:00,21区,NONE,22,7,15,0
ZRH(ZB)-2007-L01-B01-000-84,消防专业,2020/12/1 0:00,宝利宿舍楼,长租公寓,11,2,8,1
ZRH(ZB)-2007-L01-B01-000-84,电梯专业,2020/12/1 0:00,宝利宿舍楼,长租公寓,18,4,12,2
ZRH(ZB)-2007-L01-B01-000-84,电气专业,2020/12/1 0:00,宝利宿舍楼,长租公寓,22,3,15,4
ZRH(ZB)-2007-L01-B01-000-85,消防专业,2020/12/2 0:00,同路工业区,园区,16,2,11,3
ZRH(ZB)-2007-L01-B01-000-85,电梯专业,2020/12/2 0:00,同路工业区,园区,24,5,17,2
ZRH(ZB)-2007-L01-B01-000-85,电气专业,2020/12/2 0:00,同路工业区,园区,26,4,19,3
ZRH(ZB)-2007-L01-B01-000-86,消防专业,2020/12/3 0:00,美林综合楼、一号厂房,NONE,29,8,20,1
ZRH(ZB)-2007-L01-B01-000-86,电梯专业,2020/12/3 0:00,美林综合楼、一号厂房,NONE,8,1,7,0
ZRH(ZB)-2007-L01-B01-000-86,电气专业,2020/12/3 0:00,美林综合楼、一号厂房,NONE,18,6,9,3
ZRH(ZB)-2007-L01-B01-000-87,消防专业,2020/12/4 0:00,国际贸易中心,写字楼,37,8,24,5
ZRH(ZB)-2007-L01-B01-000-87,电梯专业,2020/12/4 0:00,国际贸易中心,写字楼,21,7,10,4
ZRH(ZB)-2007-L01-B01-000-87,电气专业,2020/12/4 0:00,国际贸易中心,写字楼,26,3,20,3
ZRH(ZB)-2007-L01-B01-000-88,消防专业,2020/12/7 0:00,深圳土地房产交易大厦,NONE,12,2,6,4
ZRH(ZB)-2007-L01-B01-000-89,消防专业,2020/12/9 0:00,康乐、赛格工业大厦,NONE,29,6,21,2
ZRH(ZB)-2007-L01-B01-000-89,电梯专业,2020/12/9 0:00,康乐、赛格工业大厦,NONE,56,12,37,7
ZRH(ZB)-2007-L01-B01-000-89,电气专业,2020/12/9 0:00,康乐、赛格工业大厦,NONE,85,13,58,14
ZRH(ZB)-2007-L01-B02-000-009,消防专业,2020/10/11 0:00,南京欢乐谷,景区,101,24,59,18
ZRH(ZB)-2007-L01-B02-000-009,电气专业,2020/10/11 0:00,南京欢乐谷,景区,38,5,27,6
ZRH(ZB)-2007-L01-B02-000-01,旅游景区,2020/8/18 0:00,深圳欢乐谷,景区,22,8,13,1
ZRH(ZB)-2007-L01-B02-000-01,消防专业,2020/8/18 0:00,深圳欢乐谷,景区,45,8,23,14
ZRH(ZB)-2007-L01-B02-000-01,电气专业,2020/8/18 0:00,深圳欢乐谷,景区,35,5,28,2
ZRH(ZB)-2007-L01-B02-000-02,旅游景区,2020/8/11 0:00,北京欢乐谷,景区,30,7,18,5
ZRH(ZB)-2007-L01-B02-000-02,消防专业,2020/8/11 0:00,北京欢乐谷,景区,38,4,17,17
ZRH(ZB)-2007-L01-B02-000-02,电气专业,2020/8/11 0:00,北京欢乐谷,景区,29,3,20,6
ZRH(ZB)-2007-L01-B02-000-03,旅游景区,2020/8/23 0:00,成都欢乐谷,景区,16,2,13,1
ZRH(ZB)-2007-L01-B02-000-03,消防专业,2020/8/23 0:00,成都欢乐谷,景区,52,2,34,16
ZRH(ZB)-2007-L01-B02-000-03,电气专业,2020/8/23 0:00,成都欢乐谷,景区,28,7,14,7
ZRH(ZB)-2007-L01-B02-000-04,旅游景区,2020/8/21 0:00,上海欢乐谷,景区,16,2,13,1
ZRH(ZB)-2007-L01-B02-000-04,消防专业,2020/8/21 0:00,上海欢乐谷,景区,8,2,6,0
ZRH(ZB)-2007-L01-B02-000-04,电气专业,2020/8/21 0:00,上海欢乐谷,景区,29,5,20,4
ZRH(ZB)-2007-L01-B02-000-05,消防专业,2020/8/11 0:00,武汉欢乐谷,景区,56,11,36,9
ZRH(ZB)-2007-L01-B02-000-05,电气专业,2020/8/11 0:00,武汉欢乐谷,景区,48,6,34,8
ZRH(ZB)-2007-L01-B02-000-06,旅游景区,2020/8/26 0:00,天津欢乐谷,景区,28,8,18,2
ZRH(ZB)-2007-L01-B02-000-06,消防专业,2020/8/26 0:00,天津欢乐谷,景区,48,3,32,13
ZRH(ZB)-2007-L01-B02-000-06,电气专业,2020/8/26 0:00,天津欢乐谷,景区,31,4,20,7
ZRH(ZB)-2007-L01-B02-000-07,旅游景区,2020/8/21 0:00,重庆欢乐谷,景区,27,9,11,7
ZRH(ZB)-2007-L01-B02-000-07,消防专业,2020/8/21 0:00,重庆欢乐谷,景区,43,3,31,9
ZRH(ZB)-2007-L01-B02-000-07,电气专业,2020/8/21 0:00,重庆欢乐谷,景区,22,3,15,4
ZRH(ZB)-2007-L01-B02-000-08,旅游景区,2020/8/19 0:00,南京欢乐谷,景区,27,5,21,1
ZRH(ZB)-2007-L01-B02-000-08,消防专业,2020/8/19 0:00,南京欢乐谷,景区,17,2,10,5
ZRH(ZB)-2007-L01-B02-000-08,电气专业,2020/8/19 0:00,南京欢乐谷,景区,32,8,18,6
ZRH(ZB)-2007-L01-B05-000-001,暖通专业,2020/7/29 0:00,稻香湖国际学校,学校,40,10,25,5
ZRH(ZB)-2007-L01-B05-000-001,消防专业,2020/7/29 0:00,稻香湖国际学校,学校,89,26,41,22
ZRH(ZB)-2007-L01-B05-000-001,电梯专业,2020/7/29 0:00,稻香湖国际学校,学校,40,11,21,8
ZRH(ZB)-2007-L01-B05-000-001,电气专业,2020/7/29 0:00,稻香湖国际学校,学校,85,18,55,12
ZRH(ZB)-2007-L01-B10-000-001-01,消防专业,2020/9/1 0:00,嘉轩嘉寓酒店、机场凯悦酒店,机场,10,2,6,2
ZRH(ZB)-2007-L01-B10-000-001-01,电梯专业,2020/9/1 0:00,嘉轩嘉寓酒店、机场凯悦酒店,机场,12,1,10,1
ZRH(ZB)-2007-L01-B10-000-001-01,电气专业,2020/9/1 0:00,嘉轩嘉寓酒店、机场凯悦酒店,机场,18,4,13,1
ZRH(ZB)-2007-L01-B10-000-001-05,消防专业,2020/9/4 0:00,经营管理部,机场,44,4,30,10
ZRH(ZB)-2007-L01-B10-000-001-05,电梯专业,2020/9/4 0:00,经营管理部,机场,18,8,9,1
ZRH(ZB)-2007-L01-B10-000-001-05,电气专业,2020/9/4 0:00,经营管理部,机场,16,2,13,1
ZRH(ZB)-2007-L01-B10-000-001-06,消防专业,2020/9/2 0:00,航城里商业、T3商务楼ABCD栋,机场,35,6,20,9
ZRH(ZB)-2007-L01-B10-000-001-06,电梯专业,2020/9/2 0:00,航城里商业、T3商务楼ABCD栋,机场,11,3,7,1
ZRH(ZB)-2007-L01-B10-000-001-06,电气专业,2020/9/2 0:00,航城里商业、T3商务楼ABCD栋,机场,11,2,7,2
ZRH(ZB)-2007-L01-B10-000-001-07,消防专业,2020/9/7 0:00,物业公司,机场,36,4,22,10
ZRH(ZB)-2007-L01-B10-000-001-07,电梯专业,2020/9/7 0:00,物业公司,机场,17,6,10,1
ZRH(ZB)-2007-L01-B10-000-001-07,电气专业,2020/9/7 0:00,物业公司,机场,25,6,17,2
ZRH(ZB)-2007-L01-B10-000-001-08,消防专业,2020/9/8 0:00,动力分公司,机场,13,2,10,1
ZRH(ZB)-2007-L01-B10-000-001-08,电梯专业,2020/9/8 0:00,动力分公司,机场,1,1,0,0
ZRH(ZB)-2007-L01-B10-000-001-08,电气专业,2020/9/8 0:00,动力分公司,机场,23,2,15,6
ZRH(ZB)-2007-L01-B10-000-001-09,消防专业,2020/9/9 0:00,港务公司,机场,16,3,12,1
ZRH(ZB)-2007-L01-B10-000-001-09,电梯专业,2020/9/9 0:00,港务公司,机场,3,1,2,0
ZRH(ZB)-2007-L01-B10-000-001-09,电气专业,2020/9/9 0:00,港务公司,机场,15,1,10,4
ZRH(ZB)-2007-L01-B10-000-001-10,消防专业,2020/9/10 0:00,交通运营中心,机场,33,3,23,7
ZRH(ZB)-2007-L01-B10-000-001-10,电梯专业,2020/9/10 0:00,交通运营中心,机场,2,0,2,0
ZRH(ZB)-2007-L01-B10-000-001-10,电气专业,2020/9/10 0:00,交通运营中心,机场,12,1,8,3
ZRH(ZB)-2007-L01-B10-000-001-11,消防专业,2020/9/11 0:00,商务公司,机场,19,5,13,1
ZRH(ZB)-2007-L01-B10-000-001-11,电梯专业,2020/9/11 0:00,商务公司,机场,3,1,2,0
ZRH(ZB)-2007-L01-B10-000-001-11,电气专业,2020/9/11 0:00,商务公司,机场,13,1,11,1
ZRH(ZB)-2007-L01-B10-000-001-12,消防专业,2020/9/15 0:00,航空物流事业部,机场,28,4,21,3
ZRH(ZB)-2007-L01-B10-000-001-12,电梯专业,2020/9/15 0:00,航空物流事业部,机场,4,1,3,0
ZRH(ZB)-2007-L01-B10-000-001-12,电气专业,2020/9/15 0:00,航空物流事业部,机场,18,2,14,2
ZRH(ZB)-2007-L01-B10-000-001-13,消防专业,2020/9/16 0:00,公共区管理部,机场,4,0,4,0
ZRH(ZB)-2007-L01-B10-000-001-13,电梯专业,2020/9/16 0:00,公共区管理部,机场,1,1,0,0
ZRH(ZB)-2007-L01-B10-000-001-13,电气专业,2020/9/16 0:00,公共区管理部,机场,9,1,7,1
ZRH(ZB)-2008-L01-A01-000-01,电梯专业,2020/8/18 0:00,淄博乐都汇,综合体,2,0,2,0
ZRH(ZB)-2008-L01-A01-000-02,消防专业,2020/8/18 0:00,淄博喜来登酒店,酒店,30,5,20,5
ZRH(ZB)-2008-L01-A01-000-02,电梯专业,2020/8/18 0:00,淄博喜来登酒店,酒店,12,5,6,1
ZRH(ZB)-2008-L01-A01-000-02,电气专业,2020/8/18 0:00,淄博喜来登酒店,酒店,32,3,22,7
ZRH(ZB)-2008-L01-A01-000-02-02,消防专业,2020/12/8 0:00,淄博喜来登酒店,酒店,26,5,16,5
ZRH(ZB)-2008-L01-A01-000-02-02,电梯专业,2020/12/8 0:00,淄博喜来登酒店,酒店,14,4,10,0
ZRH(ZB)-2008-L01-A01-000-02-02,电气专业,2020/12/8 0:00,淄博喜来登酒店,酒店,25,4,20,1
ZRH(ZB)-2008-L01-A01-000-02-03,消防专业,2020/12/10 0:00,秦皇岛乐都汇,综合体,42,6,29,7
ZRH(ZB)-2008-L01-A01-000-02-03,电梯专业,2020/12/10 0:00,秦皇岛乐都汇,综合体,23,6,16,1
ZRH(ZB)-2008-L01-A01-000-02-03,电气专业,2020/12/10 0:00,秦皇岛乐都汇,综合体,24,6,17,1
ZRH(ZB)-2008-L01-A01-000-03,消防专业,2020/8/21 0:00,有巢公馆天津滨江道店,长租公寓,15,3,10,2
ZRH(ZB)-2008-L01-A01-000-03,电梯专业,2020/8/21 0:00,有巢公馆天津滨江道店,长租公寓,10,5,3,2
ZRH(ZB)-2008-L01-A01-000-03,电气专业,2020/8/21 0:00,有巢公馆天津滨江道店,长租公寓,16,0,14,2
ZRH(ZB)-2008-L01-A01-000-04,消防专业,2020/8/24 0:00,有巢公馆北京三元桥店,长租公寓,15,2,13,0
ZRH(ZB)-2008-L01-A01-000-04,电梯专业,2020/8/24 0:00,有巢公馆北京三元桥店,长租公寓,11,3,7,1
ZRH(ZB)-2008-L01-A01-000-04,电气专业,2020/8/24 0:00,有巢公馆北京三元桥店,长租公寓,16,2,13,1
ZRH(ZB)-2008-L01-A01-000-05,消防专业,2020/8/26 0:00,北京凤凰置地广场,写字楼,14,2,11,1
ZRH(ZB)-2008-L01-A01-000-05,电梯专业,2020/8/26 0:00,北京凤凰置地广场,写字楼,10,5,3,2
ZRH(ZB)-2008-L01-A01-000-05,电气专业,2020/8/26 0:00,北京凤凰置地广场,写字楼,11,2,9,0
ZRH(ZB)-2008-L01-A01-000-06,消防专业,2020/8/28 0:00,北京华润大厦,写字楼,28,6,22,0
ZRH(ZB)-2008-L01-A01-000-06,电梯专业,2020/8/28 0:00,北京华润大厦,写字楼,17,2,14,1
ZRH(ZB)-2008-L01-A01-000-06,电气专业,2020/8/28 0:00,北京华润大厦,写字楼,16,3,12,1
ZRH(ZB)-2008-L01-A01-000-07,消防专业,2020/9/1 0:00,北京冠华冠英大厦,写字楼,20,7,13,0
ZRH(ZB)-2008-L01-A01-000-07,电梯专业,2020/9/1 0:00,北京冠华冠英大厦,写字楼,5,2,2,1
ZRH(ZB)-2008-L01-A01-000-07,电气专业,2020/9/1 0:00,北京冠华冠英大厦,写字楼,12,3,8,1
ZRH(ZB)-2008-L01-A01-000-07-02,消防专业,2020/12/14 0:00,北京冠华冠英大厦,写字楼,11,5,4,2
ZRH(ZB)-2008-L01-A01-000-07-02,电梯专业,2020/12/14 0:00,北京冠华冠英大厦,写字楼,5,1,4,0
ZRH(ZB)-2008-L01-A01-000-07-02,电气专业,2020/12/14 0:00,北京冠华冠英大厦,写字楼,53,16,28,9
ZRH(ZB)-2008-L01-A01-000-08,消防专业,2020/9/3 0:00,北京大兴瀛海康养,康养,58,11,36,11
ZRH(ZB)-2008-L01-A01-000-08,电梯专业,2020/9/3 0:00,北京大兴瀛海康养,康养,32,10,14,8
ZRH(ZB)-2008-L01-A01-000-08,电气专业,2020/9/3 0:00,北京大兴瀛海康养,康养,41,6,27,8
ZRH(ZB)-2008-L01-A01-000-09,消防专业,2020/9/4 0:00,北京有巢公馆五福堂店,长租公寓,13,2,9,2
ZRH(ZB)-2008-L01-A01-000-09,电梯专业,2020/9/4 0:00,北京有巢公馆五福堂店,长租公寓,15,4,8,3
ZRH(ZB)-2008-L01-A01-000-09,电气专业,2020/9/4 0:00,北京有巢公馆五福堂店,长租公寓,11,2,9,0
ZRH(ZB)-2008-L01-A01-000-10,消防专业,2020/9/7 0:00,北京有巢公馆亦庄文化园店,长租公寓,25,5,20,0
ZRH(ZB)-2008-L01-A01-000-10,电梯专业,2020/9/7 0:00,北京有巢公馆亦庄文化园店,长租公寓,13,4,8,1
ZRH(ZB)-2008-L01-A01-000-10,电气专业,2020/9/7 0:00,北京有巢公馆亦庄文化园店,长租公寓,20,3,16,1
ZRH(ZB)-2008-L01-A01-000-11,消防专业,2020/9/8 0:00,北京悦年华颐养中心,康养,6,2,4,0
ZRH(ZB)-2008-L01-A01-000-11,电气专业,2020/9/8 0:00,北京悦年华颐养中心,康养,1,0,1,0
ZRH(ZB)-2008-L01-A01-000-21,消防专业,2020/10/16 0:00,日照万象汇,综合体,47,10,34,3
ZRH(ZB)-2008-L01-A01-000-21,电梯专业,2020/10/16 0:00,日照万象汇,综合体,21,6,13,2
ZRH(ZB)-2008-L01-A01-000-21,电气专业,2020/10/16 0:00,日照万象汇,综合体,34,5,28,1
ZRH(ZB)-2008-L01-A01-000-22,消防专业,2020/11/20 0:00,青岛万象城,综合体,68,17,45,6
ZRH(ZB)-2008-L01-A01-000-22,电梯专业,2020/11/20 0:00,青岛万象城,综合体,27,5,22,0
ZRH(ZB)-2008-L01-A01-000-22,电气专业,2020/11/20 0:00,青岛万象城,综合体,14,1,10,3
ZRH(ZB)-2008-L01-A01-000-23,消防专业,2020/11/27 0:00,淄博万象汇,综合体,60,15,42,3
ZRH(ZB)-2008-L01-A01-000-23,电梯专业,2020/11/27 0:00,淄博万象汇,综合体,31,8,19,4
ZRH(ZB)-2008-L01-A01-000-23,电气专业,2020/11/27 0:00,淄博万象汇,综合体,9,1,8,0
ZRH(ZB)-2008-L01-A01-000-24,消防专业,2020/10/22 0:00,郑州万象城,综合体,83,15,61,7
ZRH(ZB)-2008-L01-A01-000-24,电梯专业,2020/10/22 0:00,郑州万象城,综合体,33,9,22,2
ZRH(ZB)-2008-L01-A01-000-24,电气专业,2020/10/22 0:00,郑州万象城,综合体,39,3,29,7
ZRH(ZB)-2008-L01-A01-000-25,消防专业,2020/11/13 0:00,青岛城阳万象汇,综合体,83,19,53,11
ZRH(ZB)-2008-L01-A01-000-25,电梯专业,2020/11/13 0:00,青岛城阳万象汇,综合体,18,4,13,1
ZRH(ZB)-2008-L01-A01-000-25,电气专业,2020/11/13 0:00,青岛城阳万象汇,综合体,34,2,29,3
ZRH(ZB)-2008-L01-A01-000-26,消防专业,2020/12/11 0:00,济南万象城,综合体,70,19,48,3
ZRH(ZB)-2008-L01-A01-000-26,电梯专业,2020/12/11 0:00,济南万象城,综合体,26,8,14,4
ZRH(ZB)-2008-L01-A01-000-26,电气专业,2020/12/11 0:00,济南万象城,综合体,22,3,17,2
ZRH(ZB)-2008-L01-A01-000-27,消防专业,2020/12/18 0:00,天津万象城,综合体,1,0,1,0
ZRH(ZB)-2008-L01-A01-000-28,消防专业,2020/12/25 0:00,太原万象城,综合体,163,30,105,28
ZRH(ZB)-2008-L01-A01-000-28,电梯专业,2020/12/25 0:00,太原万象城,综合体,30,7,21,2
ZRH(ZB)-2008-L01-A01-000-28,电气专业,2020/12/25 0:00,太原万象城,综合体,19,1,14,4
ZRH(ZB)-2008-L01-A01-000-29,消防专业,2020/12/4 0:00,临沂万象汇,综合体,154,25,103,26
ZRH(ZB)-2008-L01-A01-000-29,电梯专业,2020/12/4 0:00,临沂万象汇,综合体,24,3,20,1
ZRH(ZB)-2008-L01-A01-000-29,电气专业,2020/12/4 0:00,临沂万象汇,综合体,21,2,15,4
ZRH(ZB)-2008-L01-A01-000-41,消防专业,2020/10/14 0:00,哈尔滨万象汇,综合体,104,15,72,17
ZRH(ZB)-2008-L01-A01-000-41,电梯专业,2020/10/14 0:00,哈尔滨万象汇,综合体,30,5,18,7
ZRH(ZB)-2008-L01-A01-000-41,电气专业,2020/10/14 0:00,哈尔滨万象汇,综合体,21,4,16,1
ZRH(ZB)-2008-L01-A01-000-42,消防专业,2020/10/19 0:00,沈阳铁西万象汇,综合体,73,17,54,2
ZRH(ZB)-2008-L01-A01-000-42,电梯专业,2020/10/19 0:00,沈阳铁西万象汇,综合体,19,4,15,0
ZRH(ZB)-2008-L01-A01-000-42,电气专业,2020/10/19 0:00,沈阳铁西万象汇,综合体,20,4,15,1
ZRH(ZB)-2008-L01-A01-000-43,消防专业,2020/10/22 0:00,沈阳万象城,综合体,65,16,47,2
ZRH(ZB)-2008-L01-A01-000-43,电梯专业,2020/10/22 0:00,沈阳万象城,综合体,17,1,14,2
ZRH(ZB)-2008-L01-A01-000-43,电气专业,2020/10/22 0:00,沈阳万象城,综合体,24,3,19,2
ZRH(ZB)-2008-L01-A01-000-51,幕墙专业,2020/11/15 0:00,沈阳长白万象汇,综合体,11,0,11,0
ZRH(ZB)-2008-L01-A01-000-51,消防专业,2020/11/15 0:00,沈阳长白万象汇,综合体,181,30,120,31
ZRH(ZB)-2008-L01-A01-000-51,燃气专业,2020/11/15 0:00,沈阳长白万象汇,综合体,9,0,5,4
ZRH(ZB)-2008-L01-A01-000-51,电梯专业,2020/11/15 0:00,沈阳长白万象汇,综合体,40,13,18,9
ZRH(ZB)-2008-L01-A01-000-51,装修专业,2020/11/15 0:00,沈阳长白万象汇,综合体,19,13,6,0
ZRH(ZB)-2008-L01-A01-000-52,消防专业,2020/11/19 0:00,鞍山万象汇,综合体,90,16,72,2
ZRH(ZB)-2008-L01-A01-000-52,电梯专业,2020/11/19 0:00,鞍山万象汇,综合体,32,8,19,5
ZRH(ZB)-2008-L01-A01-000-60,消防专业,2020/11/27 0:00,北京密云万象汇,综合体,68,12,51,5
ZRH(ZB)-2008-L01-A01-000-60,燃气专业,2020/11/27 0:00,北京密云万象汇,综合体,14,2,10,2
ZRH(ZB)-2008-L01-A01-000-60,电梯专业,2020/11/27 0:00,北京密云万象汇,综合体,28,9,16,3
ZRH(ZB)-2008-L01-A01-000-60,电气专业,2020/11/27 0:00,北京密云万象汇,综合体,28,3,23,2
ZRH(ZB)-2008-L01-A01-000-61,消防专业,2020/12/2 0:00,京通PLUS365,综合体,60,18,39,3
ZRH(ZB)-2008-L01-A01-000-61,燃气专业,2020/12/2 0:00,京通PLUS365,综合体,4,1,3,0
ZRH(ZB)-2008-L01-A01-000-61,电梯专业,2020/12/2 0:00,京通PLUS365,综合体,15,4,9,2
ZRH(ZB)-2008-L01-A01-000-61,电气专业,2020/12/2 0:00,京通PLUS365,综合体,15,6,9,0
ZRH(ZB)-2008-L01-A01-000-62,消防专业,2020/12/5 0:00,北京门头沟PLUS365,综合体,50,15,29,6
ZRH(ZB)-2008-L01-A01-000-62,燃气专业,2020/12/5 0:00,北京门头沟PLUS365,综合体,6,1,5,0
ZRH(ZB)-2008-L01-A01-000-62,电梯专业,2020/12/5 0:00,北京门头沟PLUS365,综合体,21,6,12,3
ZRH(ZB)-2008-L01-A01-000-62,电气专业,2020/12/5 0:00,北京门头沟PLUS365,综合体,18,2,15,1
ZRH(ZB)-2008-L01-A01-000-63,消防专业,2020/12/11 0:00,石家庄万象城,综合体,108,20,69,19
ZRH(ZB)-2008-L01-A01-000-63,燃气专业,2020/12/11 0:00,石家庄万象城,综合体,29,7,20,2
ZRH(ZB)-2008-L01-A01-000-63,电梯专业,2020/12/11 0:00,石家庄万象城,综合体,29,8,20,1
ZRH(ZB)-2008-L01-A01-000-63,电气专业,2020/12/11 0:00,石家庄万象城,综合体,35,4,24,7
ZRH(ZB)-2008-L01-A01-000-65,消防专业,2020/12/16 0:00,北京凤凰汇,综合体,60,14,41,5
ZRH(ZB)-2008-L01-A01-000-65,燃气专业,2020/12/16 0:00,北京凤凰汇,综合体,17,2,13,2
ZRH(ZB)-2008-L01-A01-000-65,电梯专业,2020/12/16 0:00,北京凤凰汇,综合体,36,11,17,8
ZRH(ZB)-2008-L01-A01-000-65,电气专业,2020/12/16 0:00,北京凤凰汇,综合体,24,4,16,4
ZRH(ZB)-2008-L01-A01-000-66,消防专业,2020/12/17 0:00,北京优士阁,写字楼,20,4,16,0
ZRH(ZB)-2008-L01-A01-000-66,燃气专业,2020/12/17 0:00,北京优士阁,写字楼,6,2,4,0
ZRH(ZB)-2008-L01-A01-000-66,电气专业,2020/12/17 0:00,北京优士阁,写字楼,13,3,9,1
ZRH(ZB)-2008-L01-A01-000-67,消防专业,2020/12/18 0:00,北京置地星座,写字楼,17,2,13,2
ZRH(ZB)-2008-L01-A01-000-67,燃气专业,2020/12/18 0:00,北京置地星座,写字楼,4,1,2,1
ZRH(ZB)-2008-L01-A01-000-67,电气专业,2020/12/18 0:00,北京置地星座,写字楼,10,1,6,3
ZRH(ZB)-2008-L01-A01-000-68,消防专业,2020/12/3 0:00,北京五彩城,综合体,154,19,127,8
ZRH(ZB)-2008-L01-A01-000-68,电气专业,2020/12/3 0:00,北京五彩城,综合体,34,10,21,3
ZRH(ZB)-2008-L01-A01-000-69,消防专业,2020/12/6 0:00,天津万象城,综合体,98,13,62,23
ZRH(ZB)-2008-L01-A01-000-69,电梯专业,2020/12/6 0:00,天津万象城,综合体,32,6,22,4
ZRH(ZB)-2008-L01-A01-000-69,电气专业,2020/12/6 0:00,天津万象城,综合体,39,21,17,1
ZRH(ZB)-2008-L01-B01-000-001,消防专业,2020/8/18 0:00,佛山悦里公馆,住宅,41,5,22,14
