project_code,major_name,plan_end_time,project_tag,profession_tag,sum of danger_number,count of risk_level=1,count of risk_level=2,count of risk_level=3
ZRH(ZB)-2005-L01-A05-000-039,消防专业,2020/9/29 0:00,重庆中央公园,住宅,42,2,38,2
ZRH(ZB)-2005-L01-A05-000-039,电梯专业,2020/9/29 0:00,重庆中央公园,住宅,12,4,7,1
ZRH(ZB)-2005-L01-A05-000-039,电气专业,2020/9/29 0:00,重庆中央公园,住宅,18,5,13,0
ZRH(ZB)-2005-L01-A05-000-040,消防专业,2020/10/10 0:00,海南石梅湾九里,住宅,47,4,34,9
ZRH(ZB)-2005-L01-A05-000-040,电梯专业,2020/10/10 0:00,海南石梅湾九里,住宅,15,3,9,3
ZRH(ZB)-2005-L01-A05-000-040,电气专业,2020/10/10 0:00,海南石梅湾九里,住宅,11,3,8,0
ZRH(ZB)-2005-L01-A05-000-041,消防专业,2020/10/12 0:00,华润中心华润大厦,写字楼,20,2,16,2
ZRH(ZB)-2005-L01-A05-000-041,电梯专业,2020/10/12 0:00,华润中心华润大厦,写字楼,11,3,7,1
ZRH(ZB)-2005-L01-A05-000-041,电气专业,2020/10/12 0:00,华润中心华润大厦,写字楼,10,1,9,0
ZRH(ZB)-2005-L01-A05-000-042,消防专业,2020/10/13 0:00,深圳吉祥龙花园,住宅,41,3,33,5
ZRH(ZB)-2005-L01-A05-000-042,电梯专业,2020/10/13 0:00,深圳吉祥龙花园,住宅,26,5,14,7
ZRH(ZB)-2005-L01-A05-000-042,电气专业,2020/10/13 0:00,深圳吉祥龙花园,住宅,10,3,7,0
ZRH(ZB)-2005-L01-A05-000-043,消防专业,2020/10/15 0:00,大冲城市花园,住宅,27,5,22,0
ZRH(ZB)-2005-L01-A05-000-043,电梯专业,2020/10/15 0:00,大冲城市花园,住宅,18,2,11,5
ZRH(ZB)-2005-L01-A05-000-043,电气专业,2020/10/15 0:00,大冲城市花园,住宅,13,2,11,0
ZRH(ZB)-2005-L01-A05-000-044,消防专业,2020/10/16 0:00,航天三院云岗,住宅,56,9,33,14
ZRH(ZB)-2005-L01-A05-000-044,电梯专业,2020/10/16 0:00,航天三院云岗,住宅,13,4,7,2
ZRH(ZB)-2005-L01-A05-000-044,电气专业,2020/10/16 0:00,航天三院云岗,住宅,13,8,5,0
ZRH(ZB)-2005-L01-A05-000-045,消防专业,2020/10/20 0:00,华清嘉园,住宅,42,4,37,1
ZRH(ZB)-2005-L01-A05-000-045,电梯专业,2020/10/20 0:00,华清嘉园,住宅,6,0,6,0
ZRH(ZB)-2005-L01-A05-000-046,消防专业,2020/10/21 0:00,南宁凯旋1号,住宅,36,3,30,3
ZRH(ZB)-2005-L01-A05-000-046,电梯专业,2020/10/21 0:00,南宁凯旋1号,住宅,13,6,6,1
ZRH(ZB)-2005-L01-A05-000-046,电气专业,2020/10/21 0:00,南宁凯旋1号,住宅,9,3,5,1
ZRH(ZB)-2005-L01-A05-000-047,消防专业,2020/10/22 0:00,南宁华润二十四城,住宅,31,2,25,4
ZRH(ZB)-2005-L01-A05-000-047,电梯专业,2020/10/22 0:00,南宁华润二十四城,住宅,10,4,5,1
ZRH(ZB)-2005-L01-A05-000-047,电气专业,2020/10/22 0:00,南宁华润二十四城,住宅,14,3,10,1
ZRH(ZB)-2005-L01-A05-000-048,消防专业,2020/10/23 0:00,柳州华润大厦,写字楼,19,4,12,3
ZRH(ZB)-2005-L01-A05-000-048,电梯专业,2020/10/23 0:00,柳州华润大厦,写字楼,13,4,8,1
ZRH(ZB)-2005-L01-A05-000-048,电气专业,2020/10/23 0:00,柳州华润大厦,写字楼,8,1,7,0
ZRH(ZB)-2005-L01-A05-000-049,消防专业,2020/10/27 0:00,柳州凯旋门,住宅,32,4,26,2
ZRH(ZB)-2005-L01-A05-000-049,电气专业,2020/10/27 0:00,柳州凯旋门,住宅,10,4,6,0
ZRH(ZB)-2005-L01-B01-000-001,其他专业,2020/5/13 0:00,南宁凯旋1号,住宅,45,3,36,6
ZRH(ZB)-2005-L01-B01-000-001,消防专业,2020/5/13 0:00,南宁凯旋1号,住宅,62,11,31,18
ZRH(ZB)-2005-L01-B01-000-001,燃气专业,2020/5/13 0:00,南宁凯旋1号,住宅,44,4,39,1
ZRH(ZB)-2005-L01-B01-000-001,电梯专业,2020/5/13 0:00,南宁凯旋1号,住宅,33,8,21,4
ZRH(ZB)-2005-L01-B01-000-001,电气专业,2020/5/13 0:00,南宁凯旋1号,住宅,16,1,10,5
ZRH(ZB)-2005-L01-B02-000-001,其他专业,2020/7/6 0:00,福州万象城,综合体,105,22,56,10
ZRH(ZB)-2005-L01-B02-000-001,在建专业,2020/7/6 0:00,福州万象城,综合体,1,0,0,1
ZRH(ZB)-2005-L01-B02-000-001,水务专业,2020/7/6 0:00,福州万象城,综合体,1,0,1,0
ZRH(ZB)-2005-L01-B02-000-001,消防专业,2020/7/6 0:00,福州万象城,综合体,77,13,57,7
ZRH(ZB)-2005-L01-B02-000-001,电梯专业,2020/7/6 0:00,福州万象城,综合体,41,9,27,5
ZRH(ZB)-2005-L01-B02-000-001,电气专业,2020/7/6 0:00,福州万象城,综合体,15,2,12,1
ZRH(ZB)-2005-L01-B04-000-001,在建专业,2021/6/30 0:00,兴化项目,水务,3,0,2,1
ZRH(ZB)-2005-L01-B04-000-002,水务专业,2020/7/20 0:00,兴化项目,水务,98,67,30,1
ZRH(ZB)-2005-L01-B04-000-003,水务专业,2020/7/21 0:00,兴化项目,水务,36,20,13,3
ZRH(ZB)-2005-L01-B04-000-004,水务专业,2020/7/20 0:00,兴化项目,水务,29,29,0,0
ZRH(ZB)-2005-L01-B04-000-005,水务专业,2020/7/21 0:00,兴化项目,水务,35,16,19,0
ZRH(ZB)-2005-L01-B04-000-006,水务专业,2020/7/21 0:00,兴化项目,水务,17,8,8,1
ZRH(ZB)-2005-L01-B04-000-007,水务专业,2020/7/20 0:00,兴化项目,水务,35,28,7,0
ZRH(ZB)-2005-L01-B04-000-008,水务专业,2020/7/21 0:00,兴化项目,水务,32,20,11,1
ZRH(ZB)-2005-L01-B05-000-01,消防专业,2020/7/27 0:00,石梅湾艾美酒店,酒店,40,8,26,6
ZRH(ZB)-2005-L01-B05-000-01,燃气专业,2020/7/27 0:00,石梅湾艾美酒店,酒店,8,2,6,0
ZRH(ZB)-2005-L01-B05-000-01,电梯专业,2020/7/27 0:00,石梅湾艾美酒店,酒店,22,6,11,5
ZRH(ZB)-2005-L01-B05-000-01,装修专业,2020/7/27 0:00,石梅湾艾美酒店,酒店,24,7,16,1
ZRH(ZB)-2005-L01-B05-000-02,消防专业,2020/7/28 0:00,石梅湾运营中心,NONE,25,7,14,4
ZRH(ZB)-2005-L01-B05-000-02,燃气专业,2020/7/28 0:00,石梅湾运营中心,NONE,24,2,22,0
ZRH(ZB)-2005-L01-B05-000-02,电梯专业,2020/7/28 0:00,石梅湾运营中心,NONE,15,2,9,4
ZRH(ZB)-2005-L01-B05-000-02,装修专业,2020/7/28 0:00,石梅湾运营中心,NONE,7,0,7,0
ZRH(ZB)-2005-L01-B05-000-03,消防专业,2020/9/30 0:00,海口N次方,综合体,28,3,17,8
ZRH(ZB)-2005-L01-B05-000-03,燃气专业,2020/9/30 0:00,海口N次方,综合体,17,1,15,1
ZRH(ZB)-2005-L01-B05-000-03,电梯专业,2020/9/30 0:00,海口N次方,综合体,25,5,18,2
ZRH(ZB)-2005-L01-B05-000-03,电气专业,2020/9/30 0:00,海口N次方,综合体,7,1,6,0
ZRH(ZB)-2005-L01-B05-000-03,装修专业,2020/9/30 0:00,海口N次方,综合体,2,1,1,0
ZRH(ZB)-2006-L01-B01-000-001-01,其他专业,2020/7/5 0:00,宁波钱湖乐都汇,综合体,195,8,38,20
ZRH(ZB)-2006-L01-B01-000-001-01,在建专业,2020/7/5 0:00,宁波钱湖乐都汇,综合体,1,0,0,1
ZRH(ZB)-2006-L01-B01-000-001-01,暖通专业,2020/7/5 0:00,宁波钱湖乐都汇,综合体,1,0,1,0
ZRH(ZB)-2006-L01-B01-000-001-01,消防专业,2020/7/5 0:00,宁波钱湖乐都汇,综合体,137,17,48,23
ZRH(ZB)-2006-L01-B01-000-001-01,燃气专业,2020/7/5 0:00,宁波钱湖乐都汇,综合体,19,3,13,3
ZRH(ZB)-2006-L01-B01-000-001-01,电梯专业,2020/7/5 0:00,宁波钱湖乐都汇,综合体,25,5,14,6
ZRH(ZB)-2006-L01-B01-000-001-01,电气专业,2020/7/5 0:00,宁波钱湖乐都汇,综合体,40,8,28,4
