Registration,Engine Type,Body,Brand,Year,EngineV,Model,breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure
yes,Diesel,*,*,*,3.0,*,Year,-1,0.6321715186371153,0.07577639751552795,trend,shape,0.04790368029424103,Price
*,Petrol,sedan,*,*,*,*,Year,-1,0.543561789853056,0.19503105590062111,trend,shape,0.10601142982227303,Price
yes,*,*,*,*,*,*,Year,-1,0.5425947309733714,0.9078260869565218,trend,shape,0.49258165142278243,Price
yes,*,*,Volkswagen,*,*,*,Year,-1,0.6097664126521951,0.20173913043478262,trend,shape,0.12301374585679067,Price
yes,Petrol,sedan,*,*,*,*,Year,-1,0.5393391668529126,0.18583850931677018,trend,shape,0.10022998678409406,Price
*,Diesel,van,*,*,2.2,*,Brand,Mercedes-Benz,0.9994812532488182,0.031055900621118012,top1,point,0.03103979047356578,Price
yes,Diesel,*,*,*,*,Vito,EngineV,2.2,0.8879201556194652,0.03602484472049689,top1,point,0.03198718573039067,Price
yes,*,*,*,*,1.4,*,Engine Type,Petrol,0.979834456122013,0.03229813664596273,top1,point,0.03164682715425135,Price
yes,Diesel,*,Mercedes-Benz,*,*,Vito,EngineV,2.2,0.8879201556194652,0.03602484472049689,top1,point,0.03198718573039067,Price
*,Diesel,*,Mercedes-Benz,*,*,Vito,EngineV,2.2,0.8727232933473307,0.03701863354037267,top1,point,0.032307023778571996,Price
*,*,*,*,2000,*,*,Body,sedan,0.9255678395750564,0.03527950310559006,top1,point,0.03265357347072249,Price
*,Diesel,*,*,*,*,Vito,EngineV,2.2,0.8727232933473307,0.03701863354037267,top1,point,0.032307023778571996,Price
*,*,*,*,*,*,Vito,EngineV,2.2,0.895719827250989,0.03875776397515528,top1,point,0.03471609765246069,Price
*,*,van,*,*,2.2,*,Brand,Mercedes-Benz,0.9994839427943595,0.03229813664596273,top1,point,0.03228146895981782,Price
*,*,*,*,*,1.4,*,Engine Type,Petrol,0.9710350411755826,0.03428571428571429,top1,point,0.03329262998316283,Price
yes,*,*,Renault,*,*,Kangoo,EngineV,1.5,0.9878057288743392,0.03354037267080745,top1,point,0.03313137227280392,Price
*,*,*,Mercedes-Benz,*,*,Vito,EngineV,2.2,0.895719827250989,0.03875776397515528,top1,point,0.03471609765246069,Price
yes,*,*,*,*,*,Kangoo,EngineV,1.5,0.9878057288743392,0.03354037267080745,top1,point,0.03313137227280392,Price
yes,*,*,Mercedes-Benz,*,*,Vito,EngineV,2.2,0.9054704063969438,0.03751552795031056,top1,point,0.033969200339363605,Price
yes,*,other,*,*,*,*,Brand,Mercedes-Benz,0.5527450595887227,0.09217391304347826,top1,point,0.05094867505774313,Price
*,*,*,Renault,*,*,*,Body,van,0.3565236266313708,0.11055900621118013,top1,point,0.039416897851170196,Price
*,*,*,*,*,1.5,*,Brand,Renault,0.9094027436961881,0.06161490683229814,top1,point,0.056032765325876935,Price
yes,*,van,Mercedes-Benz,*,*,*,Engine Type,Diesel,0.9422430244653761,0.03900621118012423,top1,point,0.03675333039529542,Price
yes,*,*,Renault,*,*,Kangoo,Engine Type,Diesel,0.998452595486787,0.03354037267080745,top1,point,0.033488472146761795,Price
*,*,*,*,*,*,Kangoo,EngineV,1.5,0.9871317931794132,0.0337888198757764,top1,point,0.03335401835339136,Price
*,*,*,*,*,*,Kangoo,Engine Type,Diesel,0.9984557391670006,0.0337888198757764,top1,point,0.03373664112464897,Price
yes,*,*,*,*,*,Kangoo,Engine Type,Diesel,0.998452595486787,0.03354037267080745,top1,point,0.033488472146761795,Price
*,*,*,Renault,*,*,Kangoo,EngineV,1.5,0.9871317931794132,0.0337888198757764,top1,point,0.03335401835339136,Price
yes,*,van,Renault,*,*,*,Engine Type,Diesel,0.9960093147850163,0.04596273291925466,top1,point,0.04577931012055354,Price
yes,*,*,*,*,2.2,*,Engine Type,Diesel,0.9989505762256446,0.06360248447204969,top1,point,0.06353573851273665,Price
yes,*,*,*,*,2.2,*,Brand,Mercedes-Benz,0.5325504452573042,0.06360248447204969,top1,point,0.033871531425060844,Price
*,*,*,*,*,2.2,*,Engine Type,Diesel,0.9989396766550128,0.06881987577639752,top1,point,0.06874690445551268,Price
*,*,*,Mercedes-Benz,*,2.2,*,Engine Type,Diesel,0.6726604155649135,0.059130434782608696,top1,point,0.039774702833403584,Price
yes,Petrol,*,Volkswagen,*,*,*,Body,sedan,0.9431262504508399,0.06509316770186335,top1,point,0.061391075184626095,Price
*,*,*,*,*,1.5,*,Engine Type,Diesel,0.9950799690108458,0.06161490683229814,top1,point,0.061311759581289385,Price
*,*,other,*,*,*,*,Brand,Mercedes-Benz,0.54984544543059,0.09788819875776397,top1,point,0.05382338024836086,Price
*,*,*,*,*,1.8,*,Body,sedan,0.6976445492701546,0.06012422360248447,top1,point,0.04194533687537327,Price
yes,*,van,*,*,*,*,Engine Type,Diesel,0.9921475352212933,0.1498136645962733,top1,point,0.1486372580716621,Price
yes,*,*,Renault,*,*,*,Engine Type,Diesel,0.9111715411902158,0.10434782608695652,top1,point,0.09507876951550077,Price
*,*,*,*,*,2.2,*,Brand,Mercedes-Benz,0.8924852073627403,0.06881987577639752,top1,point,0.06142072110297617,Price
yes,*,*,*,*,1.5,*,Engine Type,Diesel,0.9949539621466339,0.06086956521739131,top1,point,0.06056241508718641,Price
yes,*,*,Renault,*,*,*,Body,van,0.40579204501108446,0.10434782608695652,top1,point,0.04234351774028707,Price
yes,*,*,*,*,*,Vito,EngineV,2.2,0.9054704063969438,0.03751552795031056,top1,point,0.033969200339363605,Price
*,*,*,Renault,*,*,Kangoo,Engine Type,Diesel,0.9984557391670006,0.0337888198757764,top1,point,0.03373664112464897,Price
*,*,van,Mercedes-Benz,*,*,*,Engine Type,Diesel,0.9440586215662536,0.04074534161490683,top1,point,0.03846599104021505,Price
*,Diesel,*,*,*,2.2,*,Brand,Mercedes-Benz,0.8284262870635726,0.05888198757763975,top1,point,0.048779386343867505,Price
*,*,*,*,*,1.9,*,Engine Type,Diesel,0.998765296767812,0.05018633540372671,top1,point,0.05012437017319206,Price
*,*,van,Renault,*,*,*,Engine Type,Diesel,0.9961294273361796,0.04770186335403727,top1,point,0.047517229825725836,Price
yes,*,*,*,*,1.8,*,Body,sedan,0.6723506752663658,0.05540372670807454,top1,point,0.0372507330644471,Price
yes,*,*,Mercedes-Benz,*,2.2,*,Engine Type,Diesel,0.8781390758131855,0.05490683229813664,top1,point,0.04821583497011528,Price
yes,*,*,*,*,1.5,*,Brand,Renault,0.9056501084892674,0.06086956521739131,top1,point,0.05512652834282498,Price
yes,*,*,*,*,1.9,*,Engine Type,Diesel,0.9983181179187176,0.03503105590062112,top1,point,0.034972137795413465,Price
*,Petrol,*,Volkswagen,*,*,*,Body,sedan,0.9455321049309853,0.06881987577639752,top1,point,0.06507140200394607,Price
*,*,*,Renault,*,*,*,Engine Type,Diesel,0.9043218291975642,0.11055900621118013,top1,point,0.09998092273115927,Price
*,*,van,*,*,*,*,Engine Type,Diesel,0.9917022465319105,0.155527950310559,top1,point,0.1542374177214847,Price
yes,*,*,Audi,*,*,*,Year,2003,0.9999999999999992,0.08149068322981366,change point,shape,0.08149068322981359,Price
*,Diesel,*,*,*,3.0,*,Year,2006,0.9999999999999987,0.084472049689441,change point,shape,0.08447204968944089,Price
*,Diesel,*,Renault,*,*,*,Year,1999,0.9999999999999952,0.08322981366459627,change point,shape,0.08322981366459586,Price
*,*,sedan,BMW,*,*,*,Year,1997,0.9999999999999982,0.08968944099378882,change point,shape,0.08968944099378867,Price
*,*,sedan,Mercedes-Benz,*,*,*,Year,1978,0.9999999999999993,0.0884472049689441,change point,shape,0.08844720496894404,Price
yes,*,other,*,*,*,*,Year,2015,0.9999999999999992,0.09217391304347826,change point,shape,0.09217391304347819,Price
*,*,*,*,*,2.5,*,Year,2011,0.9999999999999992,0.08422360248447205,change point,shape,0.08422360248447198,Price
*,*,*,Audi,*,*,*,Year,1995,0.999999999999999,0.10434782608695652,change point,shape,0.1043478260869564,Price
yes,*,*,Renault,*,*,*,Year,2004,0.9999999999999981,0.10434782608695652,change point,shape,0.10434782608695632,Price
*,Diesel,sedan,*,*,*,*,Year,1984,0.9999999999999986,0.10086956521739131,change point,shape,0.10086956521739117,Price
yes,Diesel,crossover,*,*,*,*,Year,1993,0.9999999999999993,0.09018633540372671,change point,shape,0.09018633540372666,Price
no,*,*,*,*,*,*,Year,1996,0.9999999999999992,0.09217391304347826,change point,shape,0.09217391304347819,Price
*,*,other,*,*,*,*,Year,2015,0.9999999999999992,0.09788819875776397,change point,shape,0.0978881987577639,Price
*,Gas,*,*,*,*,*,Year,1996,0.999999999999999,0.14658385093167703,change point,shape,0.1465838509316769,Price
*,Diesel,van,*,*,*,*,Year,1995,0.9999999999999992,0.1408695652173913,change point,shape,0.1408695652173912,Price
*,*,*,*,*,3.0,*,Year,2013,0.9999999999999989,0.12198757763975156,change point,shape,0.12198757763975142,Price
*,Diesel,*,Volkswagen,*,*,*,Year,2001,0.9999999999999993,0.1239751552795031,change point,shape,0.12397515527950302,Price
*,*,*,Renault,*,*,*,Year,1999,0.9999999999999982,0.11055900621118013,change point,shape,0.11055900621117994,Price
yes,*,*,*,*,3.0,*,Year,2013,0.9999999999999988,0.11204968944099379,change point,shape,0.11204968944099365,Price
yes,Diesel,van,*,*,*,*,Year,2011,0.999999999999999,0.13590062111801243,change point,shape,0.1359006211180123,Price
*,*,*,*,*,2.0,*,Year,2006,0.9999999999999983,0.1711801242236025,change point,shape,0.1711801242236022,Price
yes,*,*,Toyota,*,*,*,Year,1998,0.9999999999999984,0.12571428571428572,change point,shape,0.12571428571428553,Price
*,*,vagon,*,*,*,*,Year,2013,0.9999999999999993,0.09416149068322982,change point,shape,0.09416149068322975,Price
yes,*,*,BMW,*,*,*,Year,2003,0.9999999999999991,0.13291925465838508,change point,shape,0.13291925465838497,Price
*,Diesel,crossover,*,*,*,*,Year,2015,0.9999999999999993,0.0951552795031056,change point,shape,0.09515527950310552,Price
yes,*,*,*,*,2.0,*,Year,1994,0.999999999999999,0.15751552795031057,change point,shape,0.1575155279503104,Price
yes,*,*,Mercedes-Benz,*,*,*,Year,2015,0.9999999999999993,0.18782608695652173,change point,shape,0.1878260869565216,Price
*,*,*,BMW,*,*,*,Year,2003,0.9999999999999991,0.15900621118012423,change point,shape,0.1590062111801241,Price
yes,*,*,Volkswagen,*,*,*,Year,2004,0.9999999999999989,0.20173913043478262,change point,shape,0.2017391304347824,Price
*,*,*,Mercedes-Benz,*,*,*,Year,2015,0.9999999999999993,0.204472049689441,change point,shape,0.20447204968944085,Price
