Year,Brand,Category,breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure
*,Ford,Midsize,Year,-1,0.9321748357243747,0.01818181818181818,trend,shape,0.016948633376806813,Sales
*,*,Subcompact,Year,-1,0.8482795452372399,0.16363636363636364,trend,shape,0.13880938012973018,Sales
*,Mazda,*,Year,-1,0.2886534138940521,0.09090909090909091,trend,shape,0.026241219444913828,Sales
*,BMW,*,Year,-1,0.31786209607429716,0.16363636363636364,trend,shape,0.052013797539430445,Sales
*,GMC,SUV,Year,-1,0.10869146594013035,0.07272727272727272,trend,shape,0.007904833886554934,Sales
*,*,*,Year,-1,0.2537185661729038,1.0,trend,shape,0.2537185661729038,Sales
*,*,Pickup,Year,-1,0.41775493985011747,0.05454545454545454,trend,shape,0.022786633082733678,Sales
*,Honda,Subcompact,Year,-1,0.7989591689562714,0.03636363636363636,trend,shape,0.029053060689318958,Sales
*,Volkswagen,*,Year,-1,0.2228423385317717,0.12727272727272726,trend,shape,0.028361752176770942,Sales
*,Toyota,*,Year,-1,0.932355738232524,0.12727272727272726,trend,shape,0.11866345759323033,Sales
*,Hyundai,Compact,Year,-1,0.8579744897675761,0.01818181818181818,trend,shape,0.01559953617759229,Sales
*,BMW,Compact,Year,-1,0.5993815996037467,0.02181818181818182,trend,shape,0.013077416718627203,Sales
*,Volkswagen,SUV,Year,-1,0.7946079025845684,0.03636363636363636,trend,shape,0.02889483282125703,Sales
*,Honda,*,Year,-1,0.89204840467781,0.09090909090909091,trend,shape,0.08109530951616455,Sales
*,Mazda,Midsize,Year,-1,0.7710804691787012,0.01818181818181818,trend,shape,0.014019644894158204,Sales
*,BMW,Sporty,Year,-1,0.7475189923361849,0.03636363636363636,trend,shape,0.027182508812224903,Sales
*,Mazda,Subcompact,Year,-1,0.5663053342120236,0.01818181818181818,trend,shape,0.010296460622036792,Sales
*,Volkswagen,Subcompact,Year,-1,0.8993742724621887,0.01818181818181818,trend,shape,0.016352259499312523,Sales
*,Toyota,Midsize,Year,-1,0.9476359785094666,0.01818181818181818,trend,shape,0.017229745063808484,Sales
*,Toyota,Subcompact,Year,-1,0.9437737250163067,0.03636363636363636,trend,shape,0.03431904454604752,Sales
*,Toyota,SUV,Year,-1,0.3900997397097684,0.07272727272727272,trend,shape,0.028370890160710427,Sales
*,Hyundai,*,Year,-1,0.7258868202955719,0.09090909090909091,trend,shape,0.0659897109359611,Sales
*,Volkswagen,Midsize,Year,-1,0.49527398327067773,0.03636363636363636,trend,shape,0.018009963028024645,Sales
*,*,Midsize,Year,-1,0.3020165179008578,0.14181818181818182,trend,shape,0.04283143344775802,Sales
*,Mazda,Compact,Year,2007,0.4799239413784407,0.01818181818181818,top1,point,0.008725889843244376,Sales
2009,Volkswagen,*,Category,Midsize,0.38478253457071093,0.025454545454545455,top1,point,0.00979446451634537,Sales
*,Hyundai,SUV,Year,2007,0.2576765418912268,0.03636363636363636,top1,point,0.009370056068771884,Sales
2008,*,Sporty,Brand,Ford,0.9977203493843505,0.014545454545454545,top1,point,0.014512295991045098,Sales
*,Hyundai,Compact,Year,2011,0.5538820622240577,0.01818181818181818,top1,point,0.01007058294952832,Sales
*,Ford,Compact,Year,2008,0.5496486027065832,0.01818181818181818,top1,point,0.009993610958301513,Sales
2011,Mazda,*,Category,Compact,0.6848861062596182,0.01818181818181818,top1,point,0.012452474659265786,Sales
2011,Toyota,*,Category,Midsize,0.5752537204992607,0.025454545454545455,top1,point,0.014642821976344818,Sales
*,Volkswagen,SUV,Year,2011,0.4347666666798164,0.03636363636363636,top1,point,0.01580969697017514,Sales
*,Ford,Fullsize,Year,2007,0.3703158419406255,0.03636363636363636,top1,point,0.013466030616022745,Sales
*,Honda,Subcompact,Year,2008,0.302053401867694,0.03636363636363636,top1,point,0.010983760067916145,Sales
2011,Honda,*,Category,Subcompact,0.6601465755346828,0.01818181818181818,top1,point,0.012002665009721506,Sales
*,Toyota,*,Category,Midsize,0.125881266567212,0.12727272727272726,top1,point,0.016021252108554252,Sales
*,Volkswagen,*,Category,Midsize,0.3141554422743779,0.12727272727272726,top1,point,0.03998341992582991,Sales
*,GMC,Pickup,Year,2007,0.36305622607736077,0.03636363636363636,top1,point,0.0132020445846313,Sales
*,*,Fullsize,Year,2007,0.3949945831636159,0.05454545454545454,top1,point,0.021545159081651777,Sales
2011,Ford,*,Category,SUV,0.5008006779475213,0.04,top1,point,0.02003202711790085,Sales
*,GMC,*,Year,2007,0.1799318233566159,0.10909090909090909,top1,point,0.019628926184358096,Sales
