Producer Type,Energy Source,Year,State,breakdown,breakdown_value,sig,impact,insight,insight_type,score,Correlated Producer Type,Correlated Energy Source,Correlated Year,Correlated State,measure
*,*,*,TX,Year,1993,1,0.031246963,change point,shape,0.031246963,,,,,CO2 (kt)
*,*,*,*,Year,2014,1,1,change point,shape,1,,,,,CO2 (kt)
*,Coal,*,*,Year,1992,1,0.162406453,change point,shape,0.162406453,,,,,CO2 (kt)
Utility Sector Non-Cogen,*,*,*,Year,1991,1,0.170278939,change point,shape,0.170278939,,,,,CO2 (kt)
*,*,*,MI,Year,2011,1,0.033968316,change point,shape,0.033968316,,,,,CO2 (kt)
Electric Utility,*,*,*,Year,1993,1,0.211147828,change point,shape,0.211147828,,,,,CO2 (kt)
Commercial Cogen,Natural Gas,*,*,Year,2012,1,0.041257654,change point,shape,0.041257654,,,,,CO2 (kt)
*,Wood and Wood Derived Fuels,*,*,Year,1996,0.5,0.071046749,change point,shape,0.035523374,,,,,CO2 (kt)
Commercial Cogen,Petroleum,*,*,Year,2006,1,0.033968316,change point,shape,0.033968316,,,,,CO2 (kt)
*,Natural Gas,*,*,Year,1991,1,0.265866459,change point,shape,0.265866459,,,,,CO2 (kt)
Electric Utility,Coal,*,*,Year,1992,1,0.051414132,change point,shape,0.051414132,,,,,CO2 (kt)
*,Petroleum,*,*,Year,2005,1,0.24769171,change point,shape,0.24769171,,,,,CO2 (kt)
Utility Sector Non-Cogen,Natural Gas,*,*,Year,1991,1,0.042375352,change point,shape,0.042375352,,,,,CO2 (kt)
Industrial Cogen,*,*,*,Year,2007,1,0.250704636,change point,shape,0.250704636,,,,,CO2 (kt)
Electric Utility,Natural Gas,*,*,Year,2014,1,0.057828749,change point,shape,0.057828749,,,,,CO2 (kt)
Industrial Cogen,Natural Gas,*,*,Year,1998,1,0.054524249,change point,shape,0.054524249,,,,,CO2 (kt)
Industrial Cogen,Coal,*,*,Year,2014,1,0.043979007,change point,shape,0.043979007,,,,,CO2 (kt)
Commercial Cogen,*,*,*,Year,2014,1,0.117990087,change point,shape,0.117990087,,,,,CO2 (kt)
*,Other Gases,*,*,Year,2013,1,0.041549227,change point,shape,0.041549227,,,,,CO2 (kt)
Industrial Non-Cogen,*,*,*,Year,2014,1,0.057731558,change point,shape,0.057731558,,,,,CO2 (kt)
*,*,*,IA,Year,2010,0.957921211,0.020944698,outlier,shape,0.020063371,,,,,CO2 (kt)
*,*,*,AL,Year,2007,0.949805469,0.021284867,outlier,shape,0.020216483,,,,,CO2 (kt)
*,*,*,LA,Year,2011,0.965020384,0.022110992,outlier,shape,0.021337558,,,,,CO2 (kt)
Industrial Non-Cogen,Natural Gas,*,*,Year,2013,0.999454922,0.021041889,outlier,shape,0.02103042,,,,,CO2 (kt)
*,*,*,NJ,Year,2002,0.918994377,0.023617456,outlier,shape,0.021704309,,,,,CO2 (kt)
*,*,*,IN,Year,2008,0.914409711,0.024394985,outlier,shape,0.022307011,,,,,CO2 (kt)
*,*,*,MA,Year,1998,0.901562251,0.023811838,outlier,shape,0.021467854,,,,,CO2 (kt)
*,*,*,ME,Year,2002,0.997658608,0.025464088,outlier,shape,0.025404466,,,,,CO2 (kt)
*,*,*,NC,Year,2007,0.940550377,0.027359316,outlier,shape,0.025732815,,,,,CO2 (kt)
Utility Sector Cogen,Coal,*,*,Year,2008,0.913651542,0.024443581,outlier,shape,0.022332915,,,,,CO2 (kt)
*,*,*,GA,Year,2007,0.977553236,0.022937117,outlier,shape,0.022422253,,,,,CO2 (kt)
*,*,*,TX,Year,2011,0.90146158,0.031246963,outlier,shape,0.028167936,,,,,CO2 (kt)
*,*,*,IL,Year,2008,0.88784466,0.027942463,outlier,shape,0.024808566,,,,,CO2 (kt)
*,*,*,VA,Year,2000,0.929399358,0.029205948,outlier,shape,0.027143989,,,,,CO2 (kt)
*,*,*,MD,Year,2005,0.896703132,0.024249198,outlier,shape,0.021744332,,,,,CO2 (kt)
*,*,*,MI,Year,1998,0.945882251,0.033968316,outlier,shape,0.032130027,,,,,CO2 (kt)
*,*,*,MN,Year,2003,0.961487805,0.028574205,outlier,shape,0.02747375,,,,,CO2 (kt)
Utility Sector Cogen,Petroleum,*,*,Year,2000,0.915388498,0.028185441,outlier,shape,0.025800628,,,,,CO2 (kt)
*,*,*,CA,Year,2001,0.994839287,0.038925066,outlier,shape,0.038724185,,,,,CO2 (kt)
Industrial Cogen,Other,*,*,Year,2006,0.998363849,0.029060161,outlier,shape,0.029012615,,,,,CO2 (kt)
